Time,Fc,Zs,Zus,Zr
5.862,-5.85166,0.0102687,0.00466097,0.00421662
5.864,-5.82133,0.0102009,0.00460253,0.0041529
5.866,-5.7909,0.0100892,0.00450025,0.00397711
5.868,-5.76039,0.00995829,0.00438823,0.00374859
5.87,-5.72978,0.00987581,0.00431517,0.00362994
5.872,-5.69908,0.0097982,0.00424699,0.00353546
5.874,-5.66829,0.00973488,0.00418367,0.00347393
5.876,-5.63741,0.00969105,0.00413984,0.00342999
5.878,-5.60645,0.00963747,0.00408627,0.00338824
5.88,-5.57539,0.00949655,0.00395476,0.00327178
5.882,-5.54425,0.00937997,0.00384762,0.00318828
5.884,-5.51302,0.00926795,0.0037356,0.00308721
5.886,-5.4817,0.00919003,0.00365767,0.00297295
5.888,-5.45029,0.0090832,0.00356026,0.0028499
5.89,-5.4188,0.00893221,0.00340928,0.00257084
5.892,-5.38721,0.0086403,0.0031268,0.00214896
5.894,-5.35555,0.00852342,0.00300991,0.0020325
5.896,-5.32379,0.00842114,0.00290763,0.00197318
5.898,-5.29196,0.00832373,0.00281022,0.00197537
5.9,-5.26003,0.00814839,0.00263489,0.00196439
5.902,-5.22802,0.00806073,0.00254722,0.00194241
5.904,-5.19593,0.00793928,0.0024352,0.00188968
5.906,-5.16375,0.00779836,0.0023037,0.00179519
5.908,-5.13149,0.00764314,0.00216733,0.00166116
5.91,-5.09915,0.00740575,0.00196764,0.001303
5.912,-5.06672,0.00717779,0.00176796,0.000898696
5.914,-5.03421,0.00702289,0.00164132,0.000709728
5.916,-5.00162,0.00687285,0.00151956,0.000580087
5.918,-4.96895,0.00670821,0.00138319,0.000514168
5.92,-4.93619,0.00660169,0.00129553,0.000474617
5.922,-4.90336,0.00653382,0.00123708,0.000435065
5.924,-4.87044,0.00631073,0.00104227,0.000312017
5.926,-4.83745,0.00616038,0.000910765,0.000228519
5.928,-4.80437,0.00596196,0.000750042,0.000127443
5.93,-4.77122,0.0057827,0.000599059,1.98E-05
5.932,-4.73798,0.00566644,0.000501651,-0.000107668
5.934,-4.70467,0.00539528,0.000277613,-0.000437263
5.936,-4.67128,0.0049744,-5.84E-05,-0.00104372
5.938,-4.63781,0.00483379,-0.000180205,-0.00123708
5.94,-4.60427,0.00468831,-0.000306835,-0.00136233
5.942,-4.57065,0.00451879,-0.000448077,-0.00139529
5.944,-4.53695,0.00424244,-0.000686726,-0.0013821
5.946,-4.50317,0.00411613,-0.000803616,-0.00136672
5.948,-4.46932,0.00398982,-0.000920506,-0.00137551
5.95,-4.4354,0.00383459,-0.00105688,-0.00142385
5.952,-4.4014,0.00363586,-0.00122734,-0.00150735
5.954,-4.36732,0.00332118,-0.00148547,-0.00175345
