Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.534,4.89144,0.534,0.00314653,0.534,0.00263976,0.534,0.000698248
0.536,4.91387,0.536,0.00316411,0.536,0.00265924,0.536,0.00069888
0.538,4.93632,0.538,0.00318608,0.538,0.00267872,0.538,0.000699512
0.54,4.95878,0.54,0.00319707,0.54,0.00268846,0.54,0.000699828
0.542,4.98124,0.542,0.00320586,0.542,0.0026982,0.542,0.000700144
0.544,5.00372,0.544,0.00321245,0.544,0.00270794,0.544,0.00070046
0.546,5.02621,0.546,0.00322124,0.546,0.00271768,0.546,0.000700776
0.548,5.0487,0.548,0.00323882,0.548,0.00273716,0.548,0.000701408
0.55,5.0712,0.55,0.00326079,0.55,0.00275665,0.55,0.00070204
0.552,5.09371,0.552,0.00327178,0.552,0.00276639,0.552,0.000702356
0.554,5.11623,0.554,0.00328277,0.554,0.00277613,0.554,0.000702672
0.556,5.13875,0.556,0.00329156,0.556,0.00278587,0.556,0.000702988
0.558,5.16129,0.558,0.00330034,0.558,0.00279074,0.558,0.000698434
0.56,5.18382,0.56,0.00332012,0.56,0.00281022,0.56,0.000699066
0.562,5.20637,0.562,0.00334429,0.562,0.00282483,0.562,0.000704252
0.564,5.22892,0.564,0.00335528,0.564,0.00283457,0.564,0.000704568
0.566,5.25147,0.566,0.00336626,0.566,0.00284431,0.566,0.000714309
0.568,5.27403,0.568,0.00337505,0.568,0.00284918,0.568,0.000709754
0.57,5.2966,0.57,0.00338604,0.57,0.00285405,0.57,0.0007052
0.572,5.31917,0.572,0.00340801,0.572,0.00286867,0.572,0.000710386
0.574,5.34174,0.574,0.00343218,0.574,0.00288815,0.574,0.000720443
0.576,5.36432,0.576,0.00344537,0.576,0.00289302,0.576,0.000715889
0.578,5.3869,0.578,0.00345416,0.578,0.00290276,0.578,0.00072563
0.58,5.40948,0.58,0.00346294,0.58,0.00290763,0.58,0.000721075
0.582,5.43206,0.582,0.00347173,0.582,0.00291737,0.582,0.000721391
0.584,5.45465,0.584,0.00349151,0.584,0.00293198,0.584,0.000726578
0.586,5.47724,0.586,0.00351568,0.586,0.00295146,0.586,0.00072721
0.588,5.49983,0.588,0.00352667,0.588,0.0029612,0.588,0.00073695
0.59,5.52242,0.59,0.00353765,0.59,0.00297094,0.59,0.000737266
0.592,5.54501,0.592,0.00354864,0.592,0.00298068,0.592,0.000737582
0.594,5.5676,0.594,0.00355743,0.594,0.0029953,0.594,0.000742769
0.596,5.5902,0.596,0.0035794,0.596,0.00301478,0.596,0.000743401
0.598,5.61279,0.598,0.00360357,0.598,0.00303913,0.598,0.000739478
0.6,5.63538,0.6,0.00361676,0.6,0.00305374,0.6,0.000744665
0.602,5.65796,0.602,0.00362554,0.602,0.00306835,0.602,0.000749851
0.604,5.68055,0.604,0.00363433,0.604,0.00307809,0.604,0.000750167
0.606,5.70313,0.606,0.00364312,0.606,0.00308783,0.606,0.000750483
0.608,5.72572,0.608,0.0036651,0.608,0.00311706,0.608,0.000760856
0.61,5.74829,0.61,0.00368927,0.61,0.00314141,0.61,0.000756934
0.612,5.77087,0.612,0.00370025,0.612,0.00315115,0.612,0.00075725
0.614,5.79344,0.614,0.00370904,0.614,0.00316576,0.614,0.000762436
0.616,5.81601,0.616,0.00371783,0.616,0.0031755,0.616,0.000762752
0.618,5.83857,0.618,0.00372662,0.618,0.00318524,0.618,0.000763068
0.62,5.86113,0.62,0.0037442,0.62,0.00320959,0.62,0.000777995
0.622,5.88368,0.622,0.00376837,0.622,0.00323395,0.622,0.000783498
0.624,5.90622,0.624,0.00377936,0.624,0.00324856,0.624,0.000788684
0.626,5.92876,0.626,0.00378815,0.626,0.0032583,0.626,0.000798425
0.628,5.9513,0.628,0.00379693,0.628,0.00326804,0.628,0.000798741
0.63,5.97382,0.63,0.00380572,0.63,0.00327778,0.63,0.000799057
0.632,5.99634,0.632,0.0038255,0.632,0.00329726,0.632,0.000809114
0.634,6.01885,0.634,0.00384967,0.634,0.00331674,0.634,0.00081917
0.636,6.04135,0.636,0.00386066,0.636,0.00332648,0.636,0.000828911
0.638,6.06384,0.638,0.00386945,0.638,0.00333622,0.638,0.000829227
0.64,6.08632,0.64,0.00387823,0.64,0.00334596,0.64,0.000838968
0.642,6.1088,0.642,0.00388483,0.642,0.00335084,0.642,0.000834414
0.644,6.13126,0.644,0.0039046,0.644,0.00336545,0.644,0.0008396
0.646,6.15371,0.646,0.00392658,0.646,0.00338493,0.646,0.000849657
0.648,6.17615,0.648,0.00393756,0.648,0.00339467,0.648,0.000859398
0.65,6.19858,0.65,0.00394635,0.65,0.00340441,0.65,0.000859714
0.652,6.221,0.652,0.00395294,0.652,0.00340928,0.652,0.000864584
0.654,6.24341,0.654,0.00395953,0.654,0.00341902,0.654,0.0008649
0.656,6.2658,0.656,0.00397931,0.656,0.0034385,0.656,0.000874957
0.658,6.28818,0.658,0.00399909,0.658,0.00345798,0.658,0.000885014
0.66,6.31055,0.66,0.00401227,0.66,0.00346772,0.66,0.00088533
0.662,6.3329,0.662,0.00402106,0.662,0.00347747,0.662,0.000885646
0.664,6.35523,0.664,0.00402765,0.664,0.00348721,0.664,0.000885962
0.666,6.37756,0.666,0.00403644,0.666,0.00349695,0.666,0.000886278
0.668,6.39986,0.668,0.00405841,0.668,0.0035213,0.668,0.000901205
0.67,6.42215,0.67,0.00408039,0.67,0.00354565,0.67,0.000906707
0.672,6.44442,0.672,0.00409357,0.672,0.00355539,0.672,0.000907023
0.674,6.46668,0.674,0.00410236,0.674,0.00356513,0.674,0.000907339
0.676,6.48892,0.676,0.00411115,0.676,0.00357487,0.676,0.000907655
0.678,6.51114,0.678,0.00411994,0.678,0.00358461,0.678,0.000907971
0.68,6.53334,0.68,0.00414191,0.68,0.00360897,0.68,0.000904049
0.682,6.55553,0.682,0.00416608,0.682,0.00363332,0.682,0.000909551
0.684,6.57769,0.684,0.00417707,0.684,0.00364306,0.684,0.000909867
0.686,6.59984,0.686,0.00418805,0.686,0.0036528,0.686,0.000910183
0.688,6.62196,0.688,0.00419684,0.688,0.00366254,0.688,0.000910499
