Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.58,0.881128,0.58,0.00434846,0.58,0.00416906,0.58,0.00398999
0.582,0.885943,0.582,0.00433527,0.582,0.00416906,0.582,0.00398999
0.584,0.890771,0.584,0.00430451,0.584,0.00415445,0.584,0.00397538
0.586,0.89561,0.586,0.00426716,0.586,0.00413984,0.586,0.00396077
0.588,0.900462,0.588,0.00424958,0.588,0.00413497,0.588,0.0039559
0.59,0.905325,0.59,0.004232,0.59,0.00412523,0.59,0.00394616
0.592,0.9102,0.592,0.00421882,0.592,0.00412036,0.592,0.00394129
0.594,0.915088,0.594,0.00420343,0.594,0.00411549,0.594,0.00393642
0.596,0.919988,0.596,0.00417048,0.596,0.00409601,0.596,0.00391694
0.598,0.924899,0.598,0.00412873,0.598,0.00407165,0.598,0.00389258
0.6,0.929823,0.6,0.00410675,0.6,0.00406191,0.6,0.00388284
0.602,0.934759,0.602,0.00408698,0.602,0.00405217,0.602,0.0038731
0.604,0.939706,0.604,0.0040694,0.604,0.00404243,0.604,0.00386336
0.606,0.944666,0.606,0.00405182,0.606,0.00403269,0.606,0.00385362
0.608,0.949638,0.608,0.00401227,0.608,0.00400834,0.608,0.00382927
0.61,0.954622,0.61,0.00396613,0.61,0.00397425,0.61,0.00379518
0.612,0.959618,0.612,0.00394196,0.612,0.00395476,0.612,0.00377569
0.614,0.964626,0.614,0.00391998,0.614,0.00394015,0.614,0.00376108
0.616,0.969645,0.616,0.0039024,0.616,0.00392554,0.616,0.00374647
0.618,0.974677,0.618,0.00388702,0.618,0.00391093,0.618,0.00373186
0.62,0.979721,0.62,0.00384528,0.62,0.00387197,0.62,0.0036929
0.622,0.984777,0.622,0.00379693,0.622,0.00382813,0.622,0.00364906
0.624,0.989845,0.624,0.00376837,0.624,0.00380865,0.624,0.00362958
0.626,0.994925,0.626,0.0037464,0.626,0.00378917,0.626,0.0036101
0.628,1.00002,0.628,0.00372882,0.628,0.00376482,0.628,0.00358575
0.63,1.00512,0.63,0.00371124,0.63,0.00375021,0.63,0.00357114
0.632,1.01024,0.632,0.00366949,0.632,0.0037015,0.632,0.00352243
0.634,1.01536,0.634,0.00362335,0.634,0.0036528,0.634,0.00347373
0.636,1.0205,0.636,0.00359698,0.636,0.00362358,0.636,0.00344451
0.638,1.02566,0.638,0.00357501,0.638,0.00359923,0.638,0.00342015
0.64,1.03082,0.64,0.00355743,0.64,0.00357487,0.64,0.0033958
0.642,1.036,0.642,0.00353985,0.642,0.00355052,0.642,0.00337145
0.644,1.04118,0.644,0.0034981,0.644,0.00349695,0.644,0.00331788
0.646,1.04638,0.646,0.00344537,0.646,0.00344337,0.646,0.00325488
0.648,1.05159,0.648,0.0034146,0.648,0.00340928,0.648,0.00322078
0.65,1.05682,0.65,0.00339043,0.65,0.00338493,0.65,0.00319643
0.652,1.06205,0.652,0.00337066,0.652,0.00335571,0.652,0.00316721
0.654,1.0673,0.654,0.00334869,0.654,0.00332648,0.654,0.00312856
0.656,1.07256,0.656,0.00330034,0.656,0.00327291,0.656,0.00307499
0.658,1.07783,0.658,0.00324541,0.658,0.00321446,0.658,0.00300712
0.66,1.08312,0.66,0.00321465,0.66,0.00318037,0.66,0.00297303
0.662,1.08841,0.662,0.00318828,0.662,0.00314628,0.662,0.00292951
0.664,1.09372,0.664,0.00316631,0.664,0.00312193,0.664,0.00290516
0.666,1.09904,0.666,0.00314434,0.666,0.0030927,0.666,0.00286651
0.668,1.10437,0.668,0.0030894,0.668,0.00303426,0.668,0.00279864
0.67,1.10971,0.67,0.00302568,0.67,0.00296607,0.67,0.00273045
0.672,1.11507,0.672,0.00299053,0.672,0.00293198,0.672,0.00268694
0.674,1.12043,0.674,0.00295976,0.674,0.00289789,0.674,0.00265284
0.676,1.12581,0.676,0.00293779,0.676,0.00286867,0.676,0.0026142
0.678,1.1312,0.678,0.00291582,0.678,0.00283457,0.678,0.0025801
0.68,1.1366,0.68,0.00287187,0.68,0.00277613,0.68,0.00251223
0.682,1.14202,0.682,0.00281694,0.682,0.00270307,0.682,0.00242975
0.684,1.14745,0.684,0.00278618,0.684,0.00266898,0.684,0.00239566
0.686,1.15288,0.686,0.00276201,0.686,0.00263489,0.686,0.00235214
0.688,1.15833,0.688,0.00273784,0.688,0.00260566,0.688,0.00232292
0.69,1.1638,0.69,0.00271586,0.69,0.00258131,0.69,0.00228914
0.692,1.16927,0.692,0.00266313,0.692,0.002518,0.692,0.0022164
