Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.424,0,0.424,0.00232255,0.424,0.00203583,0.424,0.00203583
0.426,0,0.426,0.00233353,0.426,0.00204557,0.426,0.00204557
0.428,0,0.428,0.00235331,0.428,0.00207479,0.428,0.00207479
0.43,0,0.43,0.00237748,0.43,0.00210401,0.43,0.00210401
0.432,0,0.432,0.00238847,0.432,0.00211862,0.432,0.00211862
0.434,0,0.434,0.00239725,0.434,0.00212836,0.434,0.00212836
0.436,0,0.436,0.00240604,0.436,0.00213811,0.436,0.00213811
0.438,0,0.438,0.00241483,0.438,0.00215272,0.438,0.00215272
0.44,0,0.44,0.00243241,0.44,0.00217707,0.44,0.00217707
0.442,0,0.442,0.00245219,0.442,0.00220142,0.442,0.00220142
0.444,0,0.444,0.00246317,0.444,0.00221116,0.444,0.00221116
0.446,0,0.446,0.00247196,0.446,0.00221603,0.446,0.00221603
0.448,0,0.448,0.00247855,0.448,0.00222577,0.448,0.00222577
0.45,0,0.45,0.00248734,0.45,0.00223551,0.45,0.00223551
0.452,0,0.452,0.00250492,0.452,0.002255,0.452,0.002255
0.454,0,0.454,0.00252909,0.454,0.00226961,0.454,0.00226961
0.456,0,0.456,0.00254008,0.456,0.00227935,0.456,0.00227935
0.458,0,0.458,0.00254887,0.458,0.00228422,0.458,0.00228422
0.46,0,0.46,0.00255766,0.46,0.00228909,0.46,0.00228909
0.462,0,0.462,0.00256425,0.462,0.00229883,0.462,0.00229883
0.464,0,0.464,0.00258183,0.464,0.00231344,0.464,0.00231344
0.466,0,0.466,0.002606,0.466,0.00232805,0.466,0.00232805
0.468,0,0.468,0.00261698,0.468,0.00233292,0.468,0.00233292
0.47,0,0.47,0.00262577,0.47,0.00233779,0.47,0.00233779
0.472,0,0.472,0.00263456,0.472,0.00234266,0.472,0.00234266
0.474,0,0.474,0.00264335,0.474,0.00234753,0.474,0.00234753
0.476,0,0.476,0.00266313,0.476,0.00236214,0.476,0.00236214
0.478,0,0.478,0.0026873,0.478,0.00237188,0.478,0.00237188
0.48,0,0.48,0.00269828,0.48,0.00237676,0.48,0.00237676
0.482,0,0.482,0.00270927,0.482,0.00238163,0.482,0.00238163
0.484,0,0.484,0.00271586,0.484,0.0023865,0.484,0.0023865
0.486,0,0.486,0.00272465,0.486,0.0023865,0.486,0.0023865
0.488,0,0.488,0.00274662,0.488,0.00239137,0.488,0.00239137
0.49,0,0.49,0.0027708,0.49,0.00240111,0.49,0.00240111
0.492,0,0.492,0.00278398,0.492,0.00240598,0.492,0.00240598
0.494,0,0.494,0.00279497,0.494,0.00240598,0.494,0.00240598
0.496,0,0.496,0.00280375,0.496,0.00241085,0.496,0.00241085
0.498,0,0.498,0.00281254,0.498,0.00241085,0.498,0.00241085
0.5,0,0.5,0.00283232,0.5,0.00241572,0.5,0.00241572
0.502,0,0.502,0.00285429,0.502,0.00242546,0.502,0.00242546
0.504,0,0.504,0.00286528,0.504,0.00242546,0.504,0.00242546
0.506,0,0.506,0.00287407,0.506,0.00243033,0.506,0.00243033
0.508,0,0.508,0.00288066,0.508,0.00243033,0.508,0.00243033
0.51,0,0.51,0.00288945,0.51,0.0024352,0.51,0.0024352
0.512,0,0.512,0.00290923,0.512,0.00244007,0.512,0.00244007
0.514,0,0.514,0.0029334,0.514,0.00244494,0.514,0.00244494
0.516,0,0.516,0.00294438,0.516,0.00244981,0.516,0.00244981
0.518,0,0.518,0.00295317,0.518,0.00245468,0.518,0.00245468
0.52,0,0.52,0.00296196,0.52,0.00245468,0.52,0.00245468
0.522,0,0.522,0.00297075,0.522,0.00245955,0.522,0.00245955
0.524,0,0.524,0.00299053,0.524,0.00246442,0.524,0.00246442
0.526,0,0.526,0.0030125,0.526,0.00247416,0.526,0.00247416
0.528,0,0.528,0.00302348,0.528,0.00247903,0.528,0.00247903
0.53,0,0.53,0.00303227,0.53,0.0024839,0.53,0.0024839
0.532,0,0.532,0.00304326,0.532,0.0024839,0.532,0.0024839
0.534,0,0.534,0.00305205,0.534,0.00248877,0.534,0.00248877
0.536,0,0.536,0.00307183,0.536,0.00249852,0.536,0.00249852
0.538,0,0.538,0.003096,0.538,0.00250826,0.538,0.00250826
0.54,0,0.54,0.00310918,0.54,0.002518,0.54,0.002518
0.542,0,0.542,0.00311797,0.542,0.00252287,0.542,0.00252287
